Category,Article Link,Summary
Mission  Grants  🏹,https://gov.optimism.io/t/reallocating-pre-approved-and-unused-grants-rubicon-phase-0-phase-1/9111,"This text proposes reallocating ~110,000 OP tokens from unused sources to the Rubicon Grants Fund, supporting Rubicon's development and the launch of its RUBI token. 

**Reasons for Reallocation:**

* **Unclaimed Airdrop Rewards:** Over 50,000 OP from the initial airdrop remain unclaimed, making reallocation to the Grants Fund more beneficial.
* **Unused Phase 1 Allocation:**  60,000 OP initially allocated for Rubicon Pools V2, a product no longer pursued, can be better utilized in the Grants Fund.

**Benefits of Reallocation:**

* **Maximizes Token Utility:** Prevents OP tokens from becoming inactive.
* **Supports Optimism Ecosystem:** Funds projects building on Optimism.
* **Accelerates RUBI Launch:** The reallocated OP tokens will facilitate development and airdrop of the RUBI token, primarily to active Optimism users.

**Proposal Approval:**

The Grants Council approved the proposal, allowing Rubicon to proceed with the reallocation. This will allow for the effective use of previously allocated but unused OP tokens, benefiting both Rubicon and the Optimism ecosystem. 
"
Mission  Grants  🏹,https://gov.optimism.io/t/grant-update-op-govquests/8969,"The ""bleu"" team is working on OP Govquests, a project aimed at increasing delegate participation and delegation activity within the Optimism ecosystem. This grant update outlines the team's progress and seeks community feedback.

**Progress Highlights:**

* **UI Design:** Initial screen designs are complete and available for public review. 
* **Quest System:** A schema for the quest system has been developed, categorizing users into delegates, non-delegates, and aspiring delegates, and offering personalized quest tracks.
* **Engineering:** SIWE authentication, Quest details pages, Gitcoin passport score verification, and other features have been implemented.

**Current Focus:**

* **Quests and Rewards:** Defining an MVP version of the quest and reward system for early launch and testing.
* **UI Design:** Finalizing the MVP UI design.
* **Community Feedback:** Gathering feedback on the quest system, UI design, and overall project direction.

**How to Contribute:**

* Review the design references and suggest any missing ones.
* Provide feedback on the UI design and initial quest schema.
* Book a call with the Product Manager to share your thoughts.

The team emphasizes the importance of community engagement and feedback for the project's success. 
"
Mission  Grants  🏹,https://gov.optimism.io/t/making-impact-evaluation-accessible-framework-mission-updates/9070,"WakeUp Labs is developing a refined Impact Evaluation Framework for the Optimism ecosystem. The project aims to make impact evaluation more accessible and efficient for evaluators and project applicants by:

* **Updating the existing framework:** collaborating with stakeholders to refine the existing framework.
* **Creating a user-friendly website:** allowing contributors to assess their efforts, gather information about retro grants, and understand the impact of their contributions on Optimism.
* **Improving interfaces:** providing broader and clearer access to retro grant information for community members.

WakeUp Labs has completed the first milestone of the project, which involved researching and analyzing methodologies for refining the impact evaluation framework. The project is currently moving onto the next stages, which include:

* Developing the user interface
* Formulating the criteria for evaluation
* Defining a marketing plan
* Hosting community engagement sessions
* Iterating on the site
* Creating a mission recap and final documentation

WakeUp Labs will continue to update the community on the progress of the project. 
"
Mission  Grants  🏹,https://gov.optimism.io/t/mission-request-optimism-as-base-for-lrts/8522,"This text is a discussion thread on the Optimism Collective forum regarding a mission request to incentivize Liquid Staking Tokens (LSTs) and Liquid ReStaking Tokens (LRTs) to use Optimism as their primary L2 platform. 

The main goal of this mission is to attract the significant liquidity currently locked in LRTs on Ethereum Mainnet to Optimism. It's believed that this would increase developer concentration and open up opportunities for structured product integrations.

The thread discusses the eligibility criteria for applicants (projects with substantial liquidity on Mainnet), the potential for existing LRT projects to be attracted to Optimism, and the specific metrics used to evaluate the success of the mission (TVL and user growth). 

There is also a discussion on the potential for LSTs to be included in the mission, ultimately decided against due to the specific focus on LRTs. 

The thread concludes with the mission budget being depleted at the end of Cycle 28 and links to related discussions on similar topics. 
"
Mission  Grants  🏹,https://gov.optimism.io/t/grant-update-bleu-tech-partner-of-op-native-projects/8639,"This text details the progress of a grant awarded to ""bleu"" to provide technical support to Optimism ecosystem projects.  

**Here's a summary:**

* **Initial Challenge:**  The grant aimed to provide 1000 hours of support, but the process of project selection stalled due to the Grants Council's workload.
* **Proposed Solution:**  ""bleu"" suggested a 50/50 split: 50% of their services to existing grantees and 50% to projects selected independently. This approach was supported by the community.
* **New Approach:** Instead of reviewing all grantee applications, ""bleu"" shifted to a first-come, first-served model. They focused on projects from specific mission requests that offered broader support potential.
* **Project Updates:** ""bleu"" provided updates on their work with several projects, including Silo Finance (Telegram bot), Pike (Liquidation bot research), Namespace (Offchain Subnames Manager), and Candide (Account Recovery Frontend).
* **Challenges with Optimistic Approvals:** The partnership with Candide highlighted concerns about the optimistic approval model, where projects could be halted even after work has started. This raised concerns about risk, resource investment, and potential delays.
* **Call for Community Input:** ""bleu"" seeks the community's guidance on balancing optimistic approvals with the need for certainty in mission-critical projects. They are also looking for suggestions on how to work with the Grants Council to provide more assurance to partners.
* **Next Steps:** ""bleu"" will continue discussions with projects, proceed with development for ongoing projects, and follow up with non-responsive projects. 

**Key takeaways:**

* The grant's initial approach for project selection proved ineffective.
* The community supported a more flexible and independent approach.
* The optimistic approval model has presented challenges for collaborative projects.
* ""bleu"" is seeking community input to address these challenges and ensure a smoother grant execution process. 
"
Mission  Grants  🏹,https://gov.optimism.io/t/token-resurrection-analysis-of-locked-op-tokens-season-6-mission-grantee/9056,"## Token Resurrection Project Summary: Recovering Locked OP Tokens

The Token Resurrection project aims to solve the problem of OP tokens mistakenly sent to smart contracts without recovery functions on the Optimism network. The project, funded by a Season 6 Mission Grant, identified 45 contracts holding 173,515 OP tokens (~ $279,358.38) locked due to user error. 

**Here's a breakdown of the project's findings and proposed solution:**

**Methods:**
* Data collection and analysis of transactions on the OP token contract.
* Manual verification of contracts for token recovery functions.
* Development of a Merkle root mechanism and secure claims system.
* Creation of a user-friendly interface for identifying and claiming locked tokens.

**Results:**
* Milestone 1 identified 45 contracts holding locked OP tokens.
* Milestone 2 developed a secure system for user claims and recovery.

**Proposed Solution:**
* The project proposes that the Optimism Collective mint or grant an equivalent amount of OP tokens to recover the lost assets. 
* This approach is inspired by traditional financial practices where soiled banknotes are replaced to maintain economic integrity.
* The proposal aims to establish a precedent for token recovery and reinforce confidence in the OP ecosystem.

**Next Steps:**
* Gathering consensus from affected token holders, particularly those who lost $50 worth of OP tokens or more.
* Formal submission of the proposal to the Optimism Collective after collecting signatures from token holders.
* Consultation with the Developer Advisory Board to confirm the irrecoverability of the OP tokens.

**Distribution Framework:**
* 70% of the recovered tokens will be reimbursed to the original holders.
* 20% will be allocated as a DAO fee.
* 10% will cover platform fees.

**Overall, the Token Resurrection project presents a viable solution to address the issue of locked OP tokens and seeks to ensure that the Optimism network is a safer and more user-friendly environment for token holders.** 
"
Mission  Grants  🏹,https://gov.optimism.io/t/situation-of-non-technical-applications-and-mission-requests/9051,"The Optimism Collective's Grants Council is facing criticism for its current grant application process, which is perceived as heavily favoring technical projects over non-technical ones.  

The author, sharp3, points out that many non-technical mission requests have received no grant funding, despite having promising applications.  This is attributed to the application's technical rubrics, which are deemed inapplicable to non-technical projects but still used to judge their merit. The use of these rubrics results in low scores, even for projects that meet the mission request's specific criteria.

Gonna.eth, a member of the Grants Council, acknowledges the issue and provides a history of attempts to address it, including experimenting with unique rubrics per mission request and adding discretionary factors for reviewers.  They also outline plans for a hybrid system in the next season, incorporating a generalized rubric followed by a smaller, mission-specific rubric.

LuukDAO, another user, confirms the issue, stating that their organization had to explicitly request reviewers not to penalize them for the non-applicability of certain technical rubrics.

The author, sharp3, suggests that the Grants Council reconsider the final cutoff score for non-technical projects and remove technical rubrics from their evaluation. They believe these changes are necessary to ensure a more equitable evaluation process and better align grant funding with the intended mission requests. 
"
Mission  Grants  🏹,https://gov.optimism.io/t/mission-request-startup-support-optimism-as-venture-studio/8551,"This mission request proposes a ""Venture Studio"" program to provide support for new projects within the Optimism ecosystem. This includes services such as legal counseling, development agency work, business formation, tax preparation, and more. 

**The rationale is that early-stage projects often lack the resources to handle these crucial aspects, hindering their growth.** The program aims to provide this support in-kind, reducing the burden on projects and enabling them to focus on development.

**The proposal outlines:**

* **Target:** Projects within the Optimism ecosystem, especially those with previously approved grants.
* **Support:** A range of back-office and development services, emphasizing quality and industry-leading expertise.
* **Funding:** 100,000 OP to be distributed to multiple service providers.
* **Impact:** Measured by the number of supported projects, successful deployments, transactions, users, market value of services provided, and gas fees generated.

**Discussion highlights:**

* **Vertical focus:** Some participants advocate for dividing the budget between 2-3 teams specialized in specific verticals.
* **Centralization concerns:** Concerns are raised about potential centralization and administrative overhead.
* **North Star Metric:** The total gas fees generated by grantee projects is proposed as a metric to assess the program's impact on the Optimism network.
* **Relevance:** Some question the role of the L2 network in providing external services like legal counseling and tax preparation.
* **Application Issues:** Some applicants face difficulties submitting applications through the platform.

Overall, the ""Venture Studio"" mission request presents a valuable initiative to support new projects on Optimism, but it raises questions about its implementation and the long-term benefits for the ecosystem. Further discussion and community feedback are crucial to ensuring its success. 
"
Mission  Grants  🏹,https://gov.optimism.io/t/mission-request-optimism-dominance-in-yield-bearing-assets-3-of-4/8440,"This document outlines a mission request for the Optimism Collective, focusing on attracting yield-bearing assets to the Optimism network. 

**The goal:**  The mission aims to make Optimism the dominant platform for trading and creating yield-bearing assets by incentivizing the migration of $70 million worth of these assets from other chains. This includes real-world assets (RWAs), simple yield-bearing DeFi tokens, and staked ETH.

**The incentive:** A 5% annualized reward (in OP) is offered on top of the native yield generated by the DeFi protocol and the underlying asset for assets bridged to Optimism and deposited into eligible DeFi protocols. 

**Key elements:**

* **Whitelist:**  A whitelist of eligible yield-bearing assets with permissionless token transfers is maintained, including wstETH, rETH, cbETH, sfrxETH, USDM, USDY, and bI0B1.
* **Protocol whitelist:** A whitelist of eligible DeFi protocols for users to deposit bridged assets is established (e.g., Aave, Beefy, Exactly, Interest Protocol, Compound).
* **Tracking and distribution:** A process for tracking and distributing rewards to eligible users needs to be implemented.

**Progress measurement:**

* Number of whitelisted assets
* Amount of yield-bearing assets bridged to Optimism
* Duration of assets on Optimism
* Aggregate capital inflows for yield-bearing tokens on Optimism

**Impact measurement:**

* Increased TVL on Optimism
* Deployment of RWAs and yield-bearing projects on Optimism
* Trading activity of permissionless yield-bearing project tokens
* Amount of yield-bearing assets held in Optimism DAO treasuries

**Discussion highlights:**

* Several users and delegates raised questions about the whitelisting process and criteria, particularly for AMMs and yield-bearing stablecoin protocols.
* The 5% annualized reward incentive was discussed as a target rather than a fixed metric.
* The mission request has been amended to remove the May 1, 2024, deployment clause for DeFi protocols.
* The possibility of creating new mission requests tailored to specific asset types (like AMMs) was acknowledged.
* Users seeking funding for their projects are encouraged to consider drafting their own mission requests for future seasons.

Overall, this document showcases a community-driven effort to bolster the Optimism ecosystem through targeted incentive programs and collaborative discussions. The ultimate goal is to establish Optimism as a leading platform for yield-bearing assets and attract new capital and opportunities to the network. 
"
Mission  Grants  🏹,https://gov.optimism.io/t/please-sponsor-the-mission-of-spreading-cryptocurrency/9042,"The text is a discussion thread on the Optimism Collective forum. Kevin, an experienced cryptocurrency writer, is requesting sponsorship from the Optimism Collective for his work in educating the community about Testnets and Retro. He provides links to his work on Medium, Substack, Telegram, and Discord. Brichis suggests Kevin explore the Ambassador Contribution Path, which involves creating educational content. Kumahada welcomes Kevin to the community and points him towards various programs and resources available through the Optimism Collective, including Tech-Nerd, Sup-Nerd, Gov-Nerd, and Numba-Nerd. The discussion highlights the various ways individuals can contribute to the Optimism Collective and receive recognition for their efforts. The forum also includes a list of related topics and archived threads regarding Missions, proposals, and incentives for building on the Optimism platform. 
"
Mission  Grants  🏹,https://gov.optimism.io/t/mission-request-increase-prevalence-of-non-usd-euro-stablecoins/8951,"This mission request, proposed by Michael, aims to promote the growth of non-USD/EURO stablecoins on the Optimism (OP) Mainnet. The project aims to provide liquidity and incentives for projects to either grow the liquidity of existing non-USD/EURO stablecoins or develop and launch new ones.

The request highlights the need for local stablecoins in countries outside of the US and Europe, where many real-world applications rely on them. This initiative aims to address the bottleneck of local stablecoin availability, enabling developers to build payment, ticketing, and other applications within their respective regions.

The project focuses on incentivizing on-chain protocols and decentralized exchanges, with a small grant budget of 15k. While many participants acknowledge the importance of USD/EURO stablecoins, they see the potential of diversifying the OP ecosystem with local stablecoins, particularly in regions with high crypto adoption but limited local stablecoin options.

Some concerns include the potential for low adoption and the importance of prioritizing a deep liquidity pool for USD/EURO stablecoins.  However, supporters believe this initiative represents a valuable opportunity to explore an underdeveloped market and potentially accelerate the adoption of crypto in emerging economies. 
"
Mission  Grants  🏹,https://gov.optimism.io/t/collective-grant-policies/5833,"This document outlines the Optimism Collective's grant policies, which apply to all Governance Fund grants and OP Chain grant programs. These policies are crucial to ensure the responsible use of grant funds and the sustainable growth of the Optimism ecosystem. 

Here's a summary of the key policies:

* **Disclosures:** Any grant proposal that uses ""grants-as-a-service"" arrangements (where teams receive help with proposal writing, review, or submission in exchange for a portion of the grant) must disclose this information prominently.
* **No Sale Policy for OP User Incentives:** OP received through grants meant to deliver OP directly to end users cannot be sold by the recipient, including their affiliates. This rule applies to all transactions, including direct exchanges for fiat or crypto, and any other transaction that effectively transfers economic consequences of owning the OP tokens.
* **Lock-Up:** For all other grants (including Missions that don't pass OP directly to end users), recipients cannot sell OP for a year. After the lock-up period, recipients have full discretion over their OP.
* **Effective Sale:** This term includes any action that effectively transfers the economic benefits of owning OP tokens to another person or entity, such as selling, hypothecating, pledging, or creating derivatives.
* **Self-Delegation of Grants:**  Grant recipients cannot self-delegate user incentive grants for governance. Locked grants can be self-delegated after the one-year lock-up period.
* **Changes to Proposals:** Grant recipients must execute the grant according to the approved proposal. Any changes require submitting a new proposal for approval. 
* **Critical Milestones and Clawback:** Critical milestones demonstrate progress toward achieving the proposal's objectives. Failure to meet these milestones can lead to clawback of remaining locked tokens.
* **Grants to Other OP Chains:** These grants must follow the Collective Grant Policies and cannot be used to target users from other OP Chains. 

These policies aim to maintain a healthy token growth, prevent misuse of grant funds, and ensure the long-term sustainability of the Optimism ecosystem. Violations can result in clawback or refusal to deliver grant funds. The Grants Council, subject to optimistic approval by the Token House, is responsible for enforcing these policies. 
"
Mission  Grants  🏹,https://gov.optimism.io/t/mission-request-superchain-borrow-lend-aggregator/8811,"This document is a discussion thread from the Optimism Collective about a mission request to create a Superchain borrow/lend aggregator. The request, submitted by AnthiasLabs, aims to unify liquidity across different Superchain-based lending protocols and provide users with the best borrowing and lending rates.

The proposal was met with enthusiasm, with Ionic and DapDap expressing interest in contributing. Mark from the Optimism Foundation proposed expanding the scope to a general Superchain DeFi aggregator, including bridging, trading, liquidity provision, and lending/borrowing. While acknowledging the appeal, Ionic suggested focusing on a specialized lending aggregator due to the complexity of the lending landscape.

A key concern arose regarding the budget, with the initial 30,000 OP allocation deemed insufficient by Ionic, who requested an increase to 100,000 OP. However, AnthiasLabs stated they were out of budget for this season and would re-submit the request with a larger allocation if it wasn't funded this time.

The discussion highlights the need for a unified DeFi platform on the Superchain, underscoring the importance of interoperability and user-friendly interfaces. The conversation also raises questions about resource allocation and the potential for innovative solutions to be hindered by insufficient funding. 
"
Mission  Grants  🏹,https://gov.optimism.io/t/cycle-28-grants-preliminary-roundup/8968,"The Optimism Collective's Cycle 28 grants program has received 53 applications, with 41 moving on to the final review stage after 12 were declined. The program's Auditor Whitelisting Initiative added 6 new audit service providers, bringing the total to 11.  Reviewers provided feedback on all applications, with the preliminary cutoff set at 30 points. Finalists, selected based on a 40-point cutoff, will be announced next Thursday.  The post also includes a link to a database of finalists and provides links to other resources, such as the Optimism Forum Weekly Recap. 
"
Mission  Grants  🏹,https://gov.optimism.io/t/mission-request-optimism-dominance-in-yield-bearing-assets-2-of-4/8436,"This text details a mission request submitted to the Optimism Collective, proposing a program to incentivize Optimism-based organizations to diversify their treasury holdings into yield-bearing assets. The mission aims to make Optimism the dominant venue for trading and creating yield-bearing assets, attracting liquidity and contributing to the network's TVL growth.

The mission request:

* **Incentivizes** Optimism-native organizations (DAOs) to hold yield-bearing assets like RWAs, staked ETH, and DeFi tokens.
* **Provides a subsidy** to organizations that meet specific criteria, with a cap of 50,000 OP per organization at an annualized rate of 5%.
* **Includes a whitelist** of eligible yield-bearing assets with permissionless token transfers, initially including wstETH, rETH, cbETH, sfrxETH, USDM, USDY, and bI0B1.
* **Sets milestones** to track progress, including the total value locked (TVL) in yield-bearing assets held by Optimism-native organizations.
* **Emphasizes** the importance of TVL as the North Star metric for measuring the success of this mission.

The thread features discussions on the mission, including:

* **Clarification on the scope** of the program and the process for adding new assets to the whitelist.
* **Proposals** from community members to include additional assets, such as rsETH, ezETH, weETH, and USDGLOW.
* **Discussion on the eligibility requirements** for organizations, with a proposal to remove the May 1, 2024 deployment date requirement.
* **A petition** to include weETH as a whitelisted asset, highlighting its liquidity and potential for attracting TVL.
* **A detailed proposal** to add Glo Dollar (USDGLO) to the whitelist, emphasizing its public goods focus and potential for substantial contributions to Optimism's Retro Funding program.

Overall, the mission request demonstrates the Optimism Collective's commitment to fostering the growth and development of a robust ecosystem for yield-bearing assets. The community's active engagement and proposals reflect the collaborative nature of Optimism's governance and its focus on attracting liquidity and supporting public goods.
"
Mission  Grants  🏹,https://gov.optimism.io/t/grant-update-bleu-governance-assistant-ai-govgpt-and-govsummaries/8371,"This text describes the progress of the ""bleu"" team in developing GovGPT and GovSummaries, two AI-powered tools for the Optimism Collective. 

**GovGPT** is a chatbot that provides guidance and information about the Optimism Collective, while **GovSummaries** summarizes forum posts for easy comprehension.

The document details the project's milestones, including:

* **Data Understanding:** Gathering and analyzing data from governance documents and forum discussions.
* **Model Development:** Building and refining AI models for the chatbot and summarizer.
* **Reporting Tool:** Creating dashboards to track tool usage and identify areas for improvement.
* **Assistant AI Launch:** Making both tools publicly available for community testing and feedback.
* **Post-Launch Support:** Ongoing maintenance, updates, and community engagement.

The team provides regular updates on their progress, outlining their latest activities and seeking feedback from the community. They have faced challenges, particularly with the chatbot model's initial performance, but have been working to improve it through iterations and community feedback.

The document concludes with the project's completion and a call for continued testing and feedback. They acknowledge the project's successful completion and highlight its potential to enhance engagement within the Optimism ecosystem. 
"
Mission  Grants  🏹,https://gov.optimism.io/t/looking-for-sponsor-develop-onchain-social-games-that-attract-builders-to-optimism-v4/8928,"This text is a proposal for a ""Mission Grant"" from the Optimism Collective to develop onchain social games on the Optimism blockchain. 

The proposal argues that these games would attract and educate developers, creating a vibrant and engaged community around Optimism. It highlights the following benefits:

* **Engagement and Attraction:** Games provide a fun way to engage developers and make them interested in the Optimism ecosystem.
* **Skill Development:** Games can include educational elements that teach developers about Optimism and its technologies.
* **Community Building:**  Games foster a sense of community through collaboration and competition.
* **Showcasing Potential:** Successful games showcase the capabilities of Optimism, inspiring developers to build their own projects.
* **Incentives and Rewards:**  Rewards within the games motivate ongoing participation.

The proposal outlines the execution requirements and impact metrics for measuring success. It also includes the specific budget request of 15k OP and details how the funding would be allocated.

There is a discussion in the comments about the proposal's budget and its prior reviews, with some members suggesting that the budget should not be increased due to low application scores in previous cycles.  The proposer argues that despite the reduced budget, funding would still be valuable to incentivize developers who are building these games. 
"
Mission  Grants  🏹,https://gov.optimism.io/t/mission-request-targeted-extension-of-superfest/8854,"This document details a Mission Request for the Optimism Collective to extend the Superfest program, which aimed to encourage projects to migrate onto the Superchain. 

**The proposal focuses on:**

* **Targeted DeFi Growth:** The extended program will specifically target DeFi projects, providing them with incentives to build and attract users on the Superchain.
* **Multiple Applicant Structure:** Unlike previous grant programs, this initiative will allow multiple DeFi projects to apply for funding.
* **Metrics and Impact:**  The success of the program will be measured by metrics like TVL, number of new DeFi projects attracted, and the incremental TVL attributable to the program.
* **Addressing Superfest Shortcomings:**  The proposal acknowledges shortcomings in the previous Superfest program, including UI/UX issues and a lack of coordinated business development efforts. It aims to learn from these experiences and implement a more effective program.

**Key Discussion Points:**

* The proposal highlights the need for more coordinated business development efforts to attract high-potential DeFi projects.
* There is a debate about whether the program should have a dedicated Program Manager or if projects should apply separately.
* The importance of data and reporting is emphasized to track the program's success and ensure accountability.
* The proposal suggests a focus on attracting DeFi projects that can onboard capital and other protocols, as well as those that offer new and innovative solutions.

**Overall, the proposal outlines a proactive approach to stimulating DeFi growth on the Superchain, building upon the lessons learned from the Superfest program. It aims to create a more structured and effective program for attracting and incentivizing DeFi builders.** 
"
Mission  Grants  🏹,https://gov.optimism.io/t/cycle-28-intent-3a-mission-request-and-sponsorship/8905,"This text is a discussion thread from the Optimism Collective forum, specifically focusing on ""Mission Requests"" for Cycle 28, Intent 3A, under the ""Mission Grants"" program. 

The thread outlines a process for proposing mission requests:

1. **Template:** A template is provided for crafting mission requests.
2. **Forum Post:** Users are instructed to create a new forum post, paste the template, fill it out, and tag it with ""S6 mission request"" and the Cycle number.
3. **Sponsorship:** If a user isn't a Grants Council member, they should add ""[Looking for sponsor]"" to their post title.
4. **Link Sharing:** Users are asked to share their mission request post link in the main thread.

The thread then showcases two example mission requests:

* **DanSingjoy's request:** To develop onchain social games to attract builders to Optimism, with a focus on fostering a vibrant community of developers.
* **Michael's request:** To increase the prevalence of non-USD/EURO stablecoins on the Optimism Mainnet, aiming to grow liquidity for existing stablecoins or foster the development of new ones.

The thread also includes links to related topics, including past discussions about mission requests in previous cycles. 

In summary, the text details the process of proposing mission requests for the Optimism Collective's Mission Grants program and highlights two example requests with their rationales. 
"
